idx,imdb_id,title,genres,keywords,overview,popularity,release_date,tagline,vote_average,vote_count,overview_tk,tagline_tk
10,tt0110413,Leon: The Professional,"['Thriller', 'Crime', 'Drama']","['new york', 'corruption', 'assassin', 'police brutality', 'loss of family', 's.w.a.t.', 'immigrant', 'hitman', 'training', 'revenge', 'murder', 'loneliness', 'neighbor', 'tragic love', 'cult film', 'neo-noir', 'complex relationship', 'complex characters']","Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.",20.477329,1994-09-14,"If you want a job done well, hire a professional.",8.2,4293,"['leon', 'top', 'hit', 'man', 'new', 'york', 'earned', 'rep', 'effective', 'cleaner', 'next-door', 'neighbors', 'wiped', 'loose-cannon', 'dea', 'agent', 'becomes', 'unwilling', 'custodian', '12-year-old', 'mathilda', 'long', 'mathilda', 'thoughts', 'turn', 'revenge', 'considers', 'following', 'leon', 'footsteps']","['want', 'job', 'done', 'well', 'hire', 'professional']"
11,tt0110912,Pulp Fiction,"['Thriller', 'Crime']","['transporter', 'brothel', 'drug dealer', 'boxer', 'massage', 'stolen money', 'crime boss', 'dance contest', 'junkyard', 'kamikaze', 'ambiguous ending', 'briefcase', 'redemption', 'heirloom', 'pulp fiction', 'reference to al green', 'theft', 'brutality']","A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",140.950236,1994-09-10,Just because you are a character doesn't mean you have character.,8.3,8670,"['burger-loving', 'hit', 'man', 'philosophical', 'partner', 'drug-addled', 'gangster', 'moll', 'washed-up', 'boxer', 'converge', 'sprawling', 'comedic', 'crime', 'caper', 'adventures', 'unfurl', 'three', 'stories', 'ingeniously', 'trip', 'back', 'forth', 'time']","['character', 'mean', 'character']"
12,tt0111161,The Shawshank Redemption,"['Drama', 'Crime']","['prison', 'corruption', 'police brutality', 'prison cell', 'delinquent', 'parole board', 'escape from prison', 'wrongful imprisonment', 'framed for murder', '1940s']","Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",51.645403,1994-09-23,Fear can hold you prisoner. Hope can set you free.,8.5,8358,"['framed', '1940s', 'double', 'murder', 'wife', 'lover', 'upstanding', 'banker', 'andy', 'dufresne', 'begins', 'new', 'life', 'shawshank', 'prison', 'puts', 'accounting', 'skills', 'work', 'amoral', 'warden', 'long', 'stretch', 'prison', 'dufresne', 'comes', 'admired', 'inmates', '--', 'including', 'older', 'prisoner', 'named', 'red', '--', 'integrity', 'unquenchable', 'sense', 'hope']","['fear', 'hold', 'prisoner', 'hope', 'set', 'free']"
13,tt0109830,Forrest Gump,"['Comedy', 'Drama', 'Romance']","['vietnam veteran', 'hippie', 'mentally disabled', 'running', 'based on novel', 'vietnam', 'vietnam war', 'friendship', 'love', 'family relationships', 'bully', 'mother son relationship', 'military', 'hugging', 'shrimping', 'wounded soldier', 'flashback', 'park bench', 'amputee']","A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",48.307194,1994-07-06,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",8.2,8147,"['man', 'low', 'iq', 'accomplished', 'great', 'things', 'life', 'present', 'significant', 'historic', 'events', '-', 'case', 'far', 'exceeding', 'anyone', 'imagined', 'could', 'yet', 'despite', 'things', 'attained', 'one', 'true', 'love', 'eludes', ""'forrest"", 'gump', ""'"", 'story', 'man', 'rose', 'challenges', 'proved', 'determination', 'courage', 'love', 'important', 'ability']","['world', 'never', ""'ve"", 'seen', 'eyes', 'forrest', 'gump']"
14,tt0110357,The Lion King,"['Family', 'Animation', 'Drama']","['loss of parents', 'wild boar', 'uncle', 'shaman', 'redemption', 'king', 'scar', 'hyena', 'meerkat']",A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,21.605761,1994-06-23,Life's greatest adventure is finding your place in the Circle of Life.,8,5520,"['young', 'lion', 'cub', 'named', 'simba', 'ca', ""n't"", 'wait', 'king', 'uncle', 'craves', 'title', 'stop', 'nothing', 'get']","['life', 'greatest', 'adventure', 'finding', 'place', 'circle', 'life']"
15,tt0107207,In the Name of the Father,['Drama'],"['bomb', 'prison', 'father son relationship', 'based on novel', '1970s', 'biography', 'faith', 'irish', 'trial', 'rebellion', 'torture', 'terrorism', 'courtroom']","A small time thief from Belfast, Gerry Conlon, is falsely implicated in the IRA bombing of a pub that kills several people while he is in London. He and his four friends are coerced by British police into confessing their guilt. Gerry's father and other relatives in London are also implicated in the crime. He spends fifteen years in prison with his father trying to prove his innocence.",7.405895,1993-12-12,Falsely accused. Wrongly imprisoned. He fought for justice to clear his father's name.,7.6,363,"['small', 'time', 'thief', 'belfast', 'gerry', 'conlon', 'falsely', 'implicated', 'ira', 'bombing', 'pub', 'kills', 'several', 'people', 'london', 'four', 'friends', 'coerced', 'british', 'police', 'confessing', 'guilt', 'gerry', 'father', 'relatives', 'london', 'also', 'implicated', 'crime', 'spends', 'fifteen', 'years', 'prison', 'father', 'trying', 'prove', 'innocence']","['falsely', 'accused', 'wrongly', 'imprisoned', 'fought', 'justice', 'clear', 'father', 'name']"
16,tt0107290,Jurassic Park,"['Adventure', 'Science Fiction']","['exotic island', 'dna', 'paleontology', 'tyrannosaurus rex', 'triceratops', 'brontosaurus', 'electric fence', 'island', 'dinosaur', 'amusement park', 'theme park', 'jurassic park']","A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",8.863776,1993-06-11,An adventure 65 million years in the making.,7.6,4956,"['wealthy', 'entrepreneur', 'secretly', 'creates', 'theme', 'park', 'featuring', 'living', 'dinosaurs', 'drawn', 'prehistoric', 'dna', 'opening', 'day', 'invites', 'team', 'experts', 'two', 'eager', 'grandchildren', 'experience', 'park', 'help', 'calm', 'anxious', 'investors', 'however', 'park', 'anything', 'amusing', 'security', 'systems', 'go', 'off-line', 'dinosaurs', 'escape']","['adventure', '65', 'million', 'years', 'making']"
17,tt0108052,Schindler's List,"['Drama', 'History', 'War']","['factory', 'concentration camp', 'hero', 'holocaust', 'world war ii', 'nazis', 'defense industry', 'biography', 'the holocaust']",The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,41.725123,1993-11-29,"Whoever saves one life, saves the world entire.",8.3,4436,"['true', 'story', 'businessman', 'oskar', 'schindler', 'saved', 'thousand', 'jewish', 'lives', 'nazis', 'worked', 'slaves', 'factory', 'world', 'war', 'ii']","['whoever', 'saves', 'one', 'life', 'saves', 'world', 'entire']"
18,tt0083658,Blade Runner,"['Science Fiction', 'Drama', 'Thriller']","['artificial intelligence', 'bounty hunter', 'dystopia', 'genetics', 'fugitive', 'cyberpunk', 'los angeles', 'tech noir', 'neo-noir', 'futurista', 'lluvia']","In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",96.272374,1982-06-25,Man has made his match... now it's his problem.,7.9,3833,"['smog-choked', 'dystopian', 'los', 'angeles', '2019', 'blade', 'runner', 'rick', 'deckard', 'called', 'retirement', 'terminate', 'quartet', 'replicants', 'escaped', 'earth', 'seeking', 'creator', 'way', 'extend', 'short', 'life', 'spans']","['man', 'made', 'match', 'problem']"
19,tt0103639,Aladdin,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy', 'Romance']","['magic', 'musical', 'cartoon', 'princess', 'love', 'comedy', 'animation', 'monkey', 'arab', 'aftercreditsstinger', 'genie', 'animal sidekick']","Princess Jasmine grows tired of being forced to remain in the palace and she sneaks out into the marketplace  in disguise where she meets street-urchin Aladdin and the two fall in love, although she may only marry a prince. After being thrown in jail, Aladdin and becomes embroiled in a plot to find a mysterious lamp with which the evil Jafar hopes to rule the land.",16.357419,1992-11-25,Wish granted!,7.4,3495,"['princess', 'jasmine', 'grows', 'tired', 'forced', 'remain', 'palace', 'sneaks', 'marketplace', 'disguise', 'meets', 'street-urchin', 'aladdin', 'two', 'fall', 'love', 'although', 'may', 'marry', 'prince', 'thrown', 'jail', 'aladdin', 'becomes', 'embroiled', 'plot', 'find', 'mysterious', 'lamp', 'evil', 'jafar', 'hopes', 'rule', 'land']","['wish', 'granted']"
20,tt0103064,Terminator 2: Judgment Day,"['Action', 'Thriller', 'Science Fiction']","['cyborg', 'shotgun', 'post-apocalyptic', 'dystopia', 'moral ambiguity', 'mental institution', 'violence', 'fictional war', 'morphing', 'nuclear weapons', 'shape shifter', 'savior', 'catch phrase']","Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",22.661695,1991-07-01,It's nothing personal.,7.7,4274,"['nearly', '10', 'years', 'passed', 'since', 'sarah', 'connor', 'targeted', 'termination', 'cyborg', 'future', 'son', 'john', 'future', 'leader', 'resistance', 'target', 'newer', 'deadly', 'terminator', 'resistance', 'managed', 'send', 'protector', 'back', 'attempt', 'save', 'john', 'mother', 'sarah']","['nothing', 'personal']"
22,tt0102926,The Silence of the Lambs,"['Crime', 'Drama', 'Thriller']","['based on novel', 'psychopath', 'horror', 'suspense', 'serial killer', 'psychological thriller', 'cannibal', 'fbi agent', 'animal in cast credits', 'cannibalism']","FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.",4.307222,1991-02-01,To enter the mind of a killer she must challenge the mind of a madman.,8.1,4549,"['fbi', 'trainee', 'clarice', 'starling', 'ventures', 'maximum-security', 'asylum', 'pick', 'diseased', 'brain', 'hannibal', 'lecter', 'psychiatrist', 'turned', 'homicidal', 'cannibal', 'starling', 'needs', 'clues', 'help', 'capture', 'serial', 'killer', 'faustian', 'relationship', 'lecter', 'soon', 'leads', 'escape', 'two', 'deranged', 'killers', 'loose']","['enter', 'mind', 'killer', 'must', 'challenge', 'mind', 'madman']"
23,tt0116282,Fargo,"['Crime', 'Drama', 'Thriller']","['cheating', 'ransom', 'salesclerk', 'winter', 'kidnapping', 'auto', 'unsociability', 'police', 'north dakota', 'murder', 'money', 'car dealership', 'woodchipper']","Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!",12.61469,1996-04-05,A lot can happen in the middle of nowhere.,7.7,2080,"['jerry', 'small-town', 'minnesota', 'car', 'salesman', 'bursting', 'seams', 'debt', '...', 'got', 'plan', 'going', 'hire', 'two', 'thugs', 'kidnap', 'wife', 'scheme', 'collect', 'hefty', 'ransom', 'wealthy', 'father-in-law', 'going', 'snap', 'nobody', 'going', 'get', 'hurt', '...', 'people', 'start', 'dying', 'enter', 'police', 'chief', 'marge', 'coffee-drinking', 'parka-wearing', '-', 'extremely', 'pregnant', '-', 'investigator', ""'ll"", 'stop', 'nothing', 'get', 'man', 'think', 'small-time', 'investigative', 'skills', 'give', 'crooks', 'run', 'ransom', '...', 'betcha', '!']","['lot', 'happen', 'middle', 'nowhere']"
24,tt0048473,Pather Panchali,['Drama'],"['robbery', 'move', 'monsoon', 'difficult childhood', 'dying and death', 'misery', 'priest', 'teacher', 'writer', 'railroad', 'unemployment', 'help']","The film is a coming-of-age story of a young boy named Apu, and life in his small Indian village in the early years of the 20th century. Apu is born to a poor Brahmin family in Bengal. His father Harihar is a priest who dreams of becoming a successful poet and a playwright; he does not earn enough, but the mother Sarbajaya keeps the family going. Because of their limited resources, Sarbajaya resents having to share her home with Harihar's elderly cousin: the old and helpless cripple Indir. Apu's sister Durga is always getting into trouble for stealing guavas from the neighbour's orchards for Indir. She cares for Apu like a good older sister but loves to affectionately tease him. Together, they make do with what they have and enjoy the simple joys of life.",3.900709,1955-08-26,,7.9,63,"['film', 'coming-of-age', 'story', 'young', 'boy', 'named', 'apu', 'life', 'small', 'indian', 'village', 'early', 'years', '20th', 'century', 'apu', 'born', 'poor', 'brahmin', 'family', 'bengal', 'father', 'harihar', 'priest', 'dreams', 'becoming', 'successful', 'poet', 'playwright', ';', 'earn', 'enough', 'mother', 'sarbajaya', 'keeps', 'family', 'going', 'limited', 'resources', 'sarbajaya', 'resents', 'share', 'home', 'harihar', 'elderly', 'cousin', ':', 'old', 'helpless', 'cripple', 'indir', 'apu', 'sister', 'durga', 'always', 'getting', 'trouble', 'stealing', 'guavas', 'neighbour', 'orchards', 'indir', 'cares', 'apu', 'like', 'good', 'older', 'sister', 'loves', 'affectionately', 'tease', 'together', 'make', 'enjoy', 'simple', 'joys', 'life']",[]
25,tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"['Drama', 'Comedy', 'War']","['usa president', 'general', 'cold war', 'strategic air command', 'nuclear missile', 'war room', 'bomber pilot', 'nuclear weapons', 'ex nazi', 'doomsday device', 'absurdism']","Insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union. As soon as the actions of General ""Buck"" Turgidson are discovered, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike. Near the end is a scene that is probably the most uniquely unforgettable performance of Slim Pickens in his movie career. Peter Sellers plays multiple roles in this film.",9.80398,1964-01-29,The hot-line suspense comedy,8,1472,"['insane', 'general', 'jack', 'd.', 'ripper', 'initiates', 'nuclear', 'strike', 'soviet', 'union', 'soon', 'actions', 'general', 'buck', 'turgidson', 'discovered', 'war', 'room', 'full', 'politicians', 'generals', 'russian', 'diplomat', 'frantically', 'try', 'stop', 'nuclear', 'strike', 'near', 'end', 'scene', 'probably', 'uniquely', 'unforgettable', 'performance', 'slim', 'pickens', 'movie', 'career', 'peter', 'sellers', 'plays', 'multiple', 'roles', 'film']","['hot-line', 'suspense', 'comedy']"
26,tt0117951,Trainspotting,"['Drama', 'Crime']","['london england', 'alcohol', 'sex', 'based on novel', 'drug addiction', 'drug dealer', 'nightclub', 'junkie', 'heroin', 'cold turkey', 'modern society', 'hallucination', 'friendship', 'surrealism', 'dark comedy', 'stealing', 'monologue', 'cult film', 'recovering drug addict', 'illegal drugs', 'drug deal', 'drug rehabilitation', 'drug culture', 'antihero']","Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",19.348466,1996-02-23,Choose life.,7.8,2737,"['renton', 'deeply', 'immersed', 'edinburgh', 'drug', 'scene', 'tries', 'clean', 'get', 'despite', 'allure', 'drugs', 'influence', 'friends']","['choose', 'life']"
27,tt0068646,The Godfather,"['Drama', 'Crime']","['italy', 'love at first sight', 'loss of father', 'patriarch', 'organized crime', 'mafia', 'lawyer', 'italian american', 'crime family', 'rise to power', 'mob boss', '1940s']","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",41.109264,1972-03-14,An offer you can't refuse.,8.5,6024,"['spanning', 'years', '1945', '1955', 'chronicle', 'fictional', 'italian-american', 'corleone', 'crime', 'family', 'organized', 'crime', 'family', 'patriarch', 'vito', 'corleone', 'barely', 'survives', 'attempt', 'life', 'youngest', 'son', 'michael', 'steps', 'take', 'care', 'would-be', 'killers', 'launching', 'campaign', 'bloody', 'revenge']","['offer', 'ca', 'refuse']"
28,tt0045152,Singin' in the Rain,"['Comedy', 'Music', 'Romance']","['fan', 'morning', 'musical', 'talkie', 'partner', 'movie in movie', 'broadway', 'audience', 'chorus girl', 'diction coach', 'pearl necklace', 'flapper']","In 1927 Hollywood, Don Lockwood and Lina Lamont are a famous on-screen romantic pair in silent movies, but Lina mistakes the on-screen romance for real love. When their latest film is transformed into a musical, Don has the perfect voice for the songs, but strident voice faces the studio to dub her voice. Aspiring actress, Kathy Selden is brought in and, while she is working on the movie, Don falls in love with her.",11.064858,1952-04-10,What a Glorious Feeling!,7.9,747,"['1927', 'hollywood', 'lockwood', 'lina', 'lamont', 'famous', 'on-screen', 'romantic', 'pair', 'silent', 'movies', 'lina', 'mistakes', 'on-screen', 'romance', 'real', 'love', 'latest', 'film', 'transformed', 'musical', 'perfect', 'voice', 'songs', 'strident', 'voice', 'faces', 'studio', 'dub', 'voice', 'aspiring', 'actress', 'kathy', 'selden', 'brought', 'working', 'movie', 'falls', 'love']","['glorious', 'feeling']"
29,tt0052357,Vertigo,"['Mystery', 'Romance', 'Thriller']","['san francisco', 'sense of guilt', 'bachelor', 'obsession', ""love of one's life"", 'vertigo', 'museum', 'necklace', 'grave', 'plan', 'painting', 'film noir']","A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.",18.20822,1958-05-09,Alfred Hitchcock engulfs you in a whirlpool of terror and tension!,8,1162,"['retired', 'san', 'francisco', 'detective', 'suffering', 'acrophobia', 'investigates', 'strange', 'activities', 'old', 'friend', 'wife', 'becoming', 'dangerously', 'obsessed']","['alfred', 'hitchcock', 'engulfs', 'whirlpool', 'terror', 'tension']"
30,tt0047396,Rear Window,"['Drama', 'Mystery', 'Thriller']","['nurse', 'photographer', 'suspicion of murder', 'girlfriend', 'neighbor', 'salesman', 'apartment', 'convalescence', 'voyeurism', 'homebound']","Professional photographer L.B. ""Jeff"" Jeffries breaks his leg while getting an action shot at an auto race. Confined to his New York apartment, he spends his time looking out of the rear window observing the neighbors. He begins to suspect that a man across the courtyard may have murdered his wife. Jeff enlists the help of his high society fashion-consultant girlfriend Lisa Freemont and his visiting nurse Stella to investigate.",17.911314,1954-08-01,It only takes one witness to spoil the perfect crime.,8.2,1531,"['professional', 'photographer', 'l.b', 'jeff', 'jeffries', 'breaks', 'leg', 'getting', 'action', 'shot', 'auto', 'race', 'confined', 'new', 'york', 'apartment', 'spends', 'time', 'looking', 'rear', 'window', 'observing', 'neighbors', 'begins', 'suspect', 'man', 'across', 'courtyard', 'may', 'murdered', 'wife', 'jeff', 'enlists', 'help', 'high', 'society', 'fashion-consultant', 'girlfriend', 'lisa', 'freemont', 'visiting', 'nurse', 'stella', 'investigate']","['takes', 'one', 'witness', 'spoil', 'perfect', 'crime']"
